,id_chord,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
1,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,99.455,0.5452186520878395,21,202
2,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,99.432,0.5682674592902184,36,202
3,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.427,0.5734440838197281,39,202
4,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,99.381,0.6188985482470328,73,202
5,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.362,0.637745144690119,96,202
6,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.353,0.6471012819746916,114,202
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,99.351,0.6486640389649136,117,202
8,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.351,0.6487330293122776,118,202
9,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,99.309,0.6905695564749119,189,202
10,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.302,0.6981705578754506,210,202
11,5000008,68iMdxXn1timrxURm9dR8C,0,,,,98.99,1.0099866899133148,2250,202
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,98.825,1.174969529050771,3434,202
13,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,98.336,1.6640245320513851,5419,202
0,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,100.0,0.0,0,103
1,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,1,103
2,5000008,68iMdxXn1timrxURm9dR8C,0,,,,99.933,0.0666543915867805,91,103
3,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.925,0.0747722387313842,151,103
4,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.925,0.0747722387313842,152,103
5,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,99.921,0.0794127136468887,192,103
6,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,99.911,0.0889096483588218,286,103
7,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.893,0.1069377288222312,521,103
8,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.881,0.1190505921840667,729,103
9,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,99.872,0.1284586191177368,932,103
10,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.864,0.1363592743873596,1116,103
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,99.859,0.1413291841745376,1252,103
12,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,99.857,0.1434403508901596,1286,103
13,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,99.826,0.1743446588516235,2017,103
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,102
1,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,100.0,0.0,1,102
2,5000008,68iMdxXn1timrxURm9dR8C,0,,,,99.724,0.275624384771671,174,102
3,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,99.707,0.2927851542545913,217,102
4,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.682,0.3182924094478886,292,102
5,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.682,0.3182924094478886,293,102
6,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.652,0.3482206747542508,395,102
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,99.634,0.3663523275234993,459,102
8,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.58,0.4199886245097162,684,102
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,99.526,0.4738957298345119,986,102
10,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,99.512,0.4880309932068979,1084,102
11,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.489,0.5107509179105216,1215,102
12,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,99.489,0.510812193999562,1217,102
13,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,99.322,0.6782841925382292,2212,102
0,180849,3jButwtJMLx3Ub61BfRiHh,0,,the scientist,2022-06-03,100.0,0.0,0,200
1,5000007,6TyaYGQKCnRLVTOQlXvYAA,0,,,,99.762,0.2380914345645507,28,200
2,5000019,49ilSrZNQcle6PYw8rtvzM,0,,,,99.737,0.2630303075198619,51,200
3,5000018,49Nzxf1LskunwmZ6EyWUew,0,,,,99.733,0.2672342099413739,56,200
4,5000020,66Z3LdLjtwfIdHFF0wZa5B,0,,,,99.699,0.3011160306221458,138,200
5,6001027,75JFxkI2RXiU7L9VXzMkle,0,,,,99.692,0.3082940146816665,161,200
6,5000008,68iMdxXn1timrxURm9dR8C,0,,,,99.689,0.3109699187760916,173,200
7,1686718,2LbHYfTYW6TipHInIjqdaQ,0,,the scientist,2015-04-28,99.686,0.314094777008454,189,200
8,5000011,5FoM2ZWwhgTxHFFh2stUw6,0,,,,99.675,0.3252043721415527,260,200
9,5000012,7tn1tcxenMwDXrYTOjS3z1,0,,,,99.673,0.3267798062742613,271,200
10,5000017,34dnNAUoIPcwnK0RtVMBWZ,0,,,,99.673,0.327369794936521,281,200
11,5000013,2LbHYfTYW6TipHInIjqdaQ,0,,,,99.669,0.3309251706305449,304,200
12,5000001,025vpSSyndhVZezl8rUF6L,0,,,,99.654,0.3455029973394195,437,200
13,5000023,6f46TyGZm5oeKIP54PLvql,0,,,,99.559,0.4407625733625721,2888,200
