,id_chord,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
0,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,100,0,0,103
8,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,85.025,14.97511662,8,400
4,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,85.026,14.97372481,4,500
5,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,99.381,0.618898548,5,502
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,75.678,24.32216485,1,700
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,99.168,0.832018136,1,702
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,100,0,1,703
1,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist,,99.996,0.004102612,1,704
8,1106926,78meKU7RcdstGohFRaQUMF,2012,Mumford & Sons,ghosts that we knew,9/21/12,99.792,0.207606116,8,200
6,1106926,78meKU7RcdstGohFRaQUMF,2012,Mumford & Sons,ghosts that we knew,9/21/12,99.368,0.632202873,6,502
6,1108563,7f1mo7pArMj0b09g2N703b,2022,Coldplay,charlie brown,6/3/22,99.517,0.482608023,6,202
1,569357,7kxfWvj6u9oWQ5C36kMtGb,2007,Alter Bridge,watch over you,1/1/07,94.528,5.471590644,1,300
4,569357,7kxfWvj6u9oWQ5C36kMtGb,2007,Alter Bridge,watch over you,1/1/07,92.981,7.019483543,4,600
7,1210073,7udUBZMgHJcaf7ByUr0l8a,2004,Ray LaMontagne,jolene,9/14/04,92.927,7.072949651,7,600
