id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
24mf5NTXbNe1de7w6rjaEn,0.697,0.633,1,-6.825,1,0.0332,0.00667,0.349,0.0802,0.248,128.044,209277,4
24MnugltPOO1mf8Ux29Alj,0.666,0.423,0,-8.012,1,0.0429,0.494,0,0.106,0.154,129.893,205280,4
24ngpWhBOxKJtIPnzSNX8c,0.465,0.592,4,-4.905,1,0.0293,0.0208,0.00000151,0.0929,0.117,139.867,343018,4
24NnrxHt4xmGCFTjEcG66p,0.537,0.557,11,-6.097,1,0.026,0.00878,0.000184,0.307,0.286,74.971,237147,4
24O49qaJkiLHlg9lap3szX,0.759,0.341,5,-10.262,1,0.0492,0.425,0,0.1,0.656,90.023,183417,4
24OLFnKvNw6rX5071bPr9B,0.497,0.45,0,-9.249,1,0.0357,0.602,0,0.895,0.416,148.027,323440,4
24pJL3LEPj3M6gciuQwFlU,0.449,0.443,2,-8.386,1,0.035,0.776,0.0000137,0.341,0.227,69.79,327480,4
24Ra09vUX0DDpKZWHSiTuH,0.271,0.88,7,-10.436,1,0.0834,0.585,0.00352,0.989,0.351,140.931,223693,4
24RKlIf2IcCBW7NKcyKl0B,0.516,0.515,9,-6.279,1,0.0251,0.687,0,0.0694,0.264,140.718,196693,4
24S5sqNRG42yPG3bVyrNUp,0.227,0.951,2,-5.648,1,0.35,0.000864,0.23,0.114,0.185,199.929,227990,4
24VFQPXaOYXOewdRjG1Vk0,0.583,0.697,0,-4.836,1,0.0363,0.255,0,0.118,0.34,129.984,261907,4
251PNRmJU9KcUnFQAB5t6I,0.532,0.529,0,-8.402,1,0.0352,0.334,0.000144,0.078,0.295,81.989,321240,4
255uTjU6uPBdJciIHL8i75,0.421,0.946,2,-5.101,1,0.0767,0.24,0.00255,0.504,0.848,169.712,185000,4
256RX5Kc5IhZCtsyCACZyi,0.283,0.311,2,-12.807,1,0.0389,0.273,0,0.196,0.227,180.288,215353,4
25AIQ461g0jc0GFZU6gZ4v,0.467,0.44,4,-4.446,1,0.0526,0.842,0.00000533,0.0978,0.263,152.454,248480,3
25FTMokYEbEWHEdss5JLZS,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,241667,4
25IiJu0DjOqsnQXgNHWp5i,0.527,0.308,0,-11.809,1,0.0284,0.551,0.0000425,0.0921,0.514,136.297,160865,4
25IOr9dA5ydvp9wQHhzone,0.757,0.323,10,-10.305,1,0.0852,0.201,0,0.122,0.501,125.868,290667,4
25Lbwhksc4VmSu6Bwbh3VX,0.169,0.24,2,-13.598,1,0.042,0.979,0.727,0.148,0.404,184.661,268676,4
25Syi9wnfn6ZGAmiOBypPq,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,229760,4
