,danceability,energy,speechiness,acousticness,liveness,valence,tempo
240,0.749,0.491,0.0403,0.02,0.159,0.536,119.528
241,0.474,0.804,0.0473,0.309,0.552,0.757,140.507
242,0.749,0.748,0.0323,0.295,0.469,0.827,137.547
243,0.487,0.518,0.0651,0.0894,0.969,0.398,104.41
244,0.445,0.949,0.0471,0.395,0.0902,0.653,147.604
246,0.658,0.539,0.026,0.156,0.106,0.536,125.041
247,0.256,0.641,0.0552,0.199,0.0853,0.382,203.006
248,0.686,0.969,0.0479,0.082,0.0899,0.788,119.754
249,0.505,0.283,0.0429,0.827,0.0732,0.316,123.964
250,0.495,0.653,0.0361,0.217,0.334,0.571,80.897
251,0.43,0.463,0.0442,0.303,0.152,0.66,93.405
252,0.765,0.476,0.0329,0.0504,0.165,0.965,114.02
253,0.351,0.618,0.0295,0.227,0.0506,0.496,104.817
254,0.268,0.459,0.0346,0.378,0.118,0.175,64.177
255,0.558,0.86,0.0337,0.0153,0.307,0.604,134.538
256,0.269,0.176,0.0296,0.836,0.122,0.105,78.861
257,0.339,0.625,0.028,0.057,0.229,0.334,104.68
258,0.528,0.578,0.0308,0.529,0.392,0.161,118.427
259,0.741,0.697,0.0277,0.0664,0.133,0.774,116.109
260,0.55,0.525,0.0275,0.288,0.106,0.806,171.172
261,0.35,0.461,0.0471,0.921,0.491,0.276,96.753
262,0.433,0.593,0.0352,0.0153,0.697,0.452,105.918
263,0.695,0.283,0.0296,0.679,0.0767,0.447,91.657
264,0.195,0.483,0.03,0.465,0.0686,0.173,84.71
265,0.564,0.774,0.0368,0.0135,0.0861,0.657,100.894
266,0.239,0.442,0.0308,0.106,0.0738,0.4,185.723
267,0.412,0.676,0.0266,0.00596,0.209,0.557,155.431
268,0.38,0.43,0.0288,0.546,0.188,0.547,82.204
269,0.389,0.476,0.0316,0.619,0.255,0.566,148.117
270,0.745,0.219,0.0276,0.851,0.0678,0.635,88.609
271,0.725,0.583,0.0427,0.3,0.0665,0.762,79.984
272,0.595,0.462,0.0259,0.102,0.0641,0.526,124.991
273,0.734,0.58,0.0321,0.238,0.0298,0.962,119.336
274,0.774,0.75,0.0412,0.00207,0.0808,0.927,118.015
276,0.479,0.493,0.0293,0.0263,0.0718,0.438,144.546
278,0.546,0.931,0.0341,0.000299,0.11,0.643,125.495
279,0.585,0.532,0.0268,0.209,0.227,0.68,94.461
280,0.654,0.506,0.0535,0.686,0.155,0.831,123.179
281,0.487,0.128,0.0368,0.487,0.108,0.306,132.2
282,0.344,0.466,0.0255,0.534,0.569,0.132,137.974
283,0.823,0.417,0.032,0.562,0.0765,0.522,111.928
284,0.495,0.609,0.0339,0.42,0.187,0.33,135.671
285,0.59,0.805,0.0371,0.137,0.0996,0.797,138.514
286,0.55,0.618,0.0307,0.0564,0.0937,0.429,78.61
287,0.457,0.308,0.0398,0.309,0.107,0.271,103.11
288,0.326,0.0902,0.0344,0.647,0.198,0.218,137.611
289,0.421,0.335,0.0324,0.0342,0.0944,0.0889,114.227
290,0.505,0.483,0.0334,0.542,0.222,0.484,125.839
291,0.557,0.752,0.0566,0.237,0.124,0.687,74.108
292,0.701,0.944,0.0455,0.0755,0.601,0.792,128.993
293,0.412,0.235,0.0497,0.819,0.189,0.306,99.883
294,0.364,0.313,0.0342,0.653,0.915,0.374,152.955
296,0.266,0.831,0.0453,0.000862,0.0555,0.778,175.514
297,0.659,0.585,0.0288,0.623,0.348,0.784,104.111
298,0.433,0.275,0.0322,0.919,0.129,0.362,118.803
299,0.624,0.531,0.0309,0.587,0.309,0.551,113.778
300,0.699,0.502,0.0278,0.0607,0.317,0.676,105.267
301,0.721,0.558,0.0246,0.492,0.113,0.542,96.887
302,0.73,0.639,0.0524,0.0853,0.102,0.658,94.395
303,0.526,0.9,0.0545,0.00539,0.14,0.883,151.279
304,0.58,0.498,0.0277,0.198,0.132,0.111,116.271
305,0.58,0.575,0.0231,0.25,0.0813,0.37,92.934
306,0.683,0.594,0.0347,0.385,0.121,0.734,115.099
307,0.858,0.544,0.0751,0.582,0.0707,0.874,108.217
308,0.413,0.711,0.0556,0.00365,0.416,0.538,128.853
309,0.582,0.641,0.0297,0.237,0.132,0.86,148.634
310,0.387,0.312,0.0547,0.776,0.23,0.476,162.393
311,0.457,0.729,0.0386,0.164,0.978,0.539,145.139
312,0.379,0.343,0.0385,0.806,0.0991,0.694,184.301
313,0.572,0.449,0.0264,0.314,0.0301,0.207,122.632
314,0.559,0.434,0.0295,0.824,0.194,0.413,72.528
315,0.471,0.021,0.0366,0.931,0.103,0.356,107.796
316,0.402,0.114,0.0321,0.842,0.318,0.191,128.332
317,0.474,0.0404,0.0387,0.948,0.111,0.18,119.415
318,0.28,0.344,0.0293,0.715,0.133,0.232,171.143
319,0.687,0.453,0.0335,0.765,0.0897,0.83,129.987
320,0.544,0.265,0.035,0.848,0.196,0.7,133.837
321,0.541,0.677,0.0373,0.122,0.0938,0.555,101.1
322,0.322,0.168,0.0336,0.915,0.117,0.259,146.68
323,0.513,0.396,0.0299,0.251,0.11,0.229,140.208
324,0.526,0.774,0.0459,0.715,0.437,0.715,131.715
325,0.521,0.516,0.0369,0.723,0.257,0.569,136.483
326,0.232,0.216,0.0314,0.936,0.246,0.432,94.268
327,0.45,0.656,0.0472,0.664,0.259,0.782,106.61
328,0.604,0.522,0.0271,0.298,0.092,0.337,146.007
329,0.455,0.487,0.0264,0.114,0.358,0.139,136.482
331,0.331,0.749,0.0674,0.0638,0.108,0.291,147.92
332,0.534,0.462,0.0266,0.839,0.129,0.534,96.195
333,0.476,0.381,0.0342,0.727,0.0614,0.33,121.948
334,0.628,0.159,0.0333,0.872,0.111,0.505,135.003
335,0.805,0.558,0.041,0.164,0.0546,0.965,114.95
336,0.756,0.401,0.0526,0.582,0.0541,0.514,101.954
