id_chord,id_spotify_track,id_track,r
1879550,0RXuprs35ydchNS7xtKHds,9849,1
966477,0RZyUsKfiC7MtiGKatCtGc,6519,1
1198615,0s0JMUkb2WCxIJsRB3G7Hd,8096,1
92135,0S3J3ba1wuytMDUyrTSEUk,2011,1
1059908,0S6CXA5LpRDX6b4akgrOot,7224,1
79749,0S8ibKBl3tjRmYbZhGHNhG,1727,1
23970,0s8OMEGJQJIUr9VFwNEH1v,720,1
114928,0Se82Sof9IOUY4VdR9un2A,2206,1
1194750,0sE9ZTxMxYneIUAEHN4Tg7,8069,1
923703,0SiywuOBRcynK0uKGWdCnn,6176,1
116342,0SjnBEHZVXgCKvOrpvzL2k,2215,1
842560,0sKlV58cODrjxGFOyf9IXY,4634,1
38290,0SlpFHdk4UHBDzCEoXzy14,887,1
14172,0smyCrJiibi2uwCiq5R1vj,377,1
5909,0sNKiz82ATCvT3f3XVVUUj,164,1
1008226,0snQkGI5qnAmohLE7jTsTn,6837,1
514652,0sp00HSXkQyqTa6QqM0O8V,4259,1
601118,0ss1MMz7gkxu4yUlZ9DIPA,4631,1
77915,0SsYlkXxZ5vkWOTsKxMfMz,1667,1
2408159,0STK94RxUulYqWzwFlyAb5,10640,1
207412,0STYqwE8m83Z76Hzo5lhDp,3097,1
1154540,0SuG9kyzGRpDqrCWtgD6Lq,7500,1
17333,0suLngfo7rJoetk7Ub6N8l,554,1
148832,0SXASazFDcMabUee9uP9TL,2557,1
3461783,0sY6ZUTh4yoctD8VIXz339,11150,1
400937,0SzvmWfOhoxZVGrmvb56YL,3747,1
1102370,0SzvXb3BAWgTHACbIXGNPa,7497,1
943543,0T4t1PywlNmJGcveGH5spB,6411,1
1191790,0TAmnCzOtqRfvA38DDLTjj,8042,1
2217443,0tBbt8CrmxbjRP0pueQkyU,10393,1
1098920,0TDLuuLlV54CkRRUOahJb4,7368,1
1094116,0Tel1fmuCxEFV6wBLXsEdk,7443,1
1996975,0tgVpDi06FyKpA1z0VMD4v,10080,1
732556,0tiJ44M85rqHU0a5RMQN8x,5339,1
96406,0TkFpOjGJCjmXJyDHC56Sh,2047,1
600761,0TlkrxoKC7ACwZ7lUrqcuA,4628,1
2591907,0tMSssfxAL2oV8Vri0mFHE,10791,1
716385,0tQ9vBYpldCuikPsbgOVKA,5255,1
1770100,0tUELgOuOJ3KCsYMDDsNvD,9556,1
1763927,0tV8pOpiNsKqUys0ilUcXz,9517,1
1674140,0TvQLMecTE8utzoNmvXRbK,9115,1
1232272,0TwBtDAWpkpM3srywFVOV5,9265,1
1843954,0TXNKTzawI6VgLoA9UauRp,9805,1
490732,0TzbmxnYrlMV6dEln2l9nb,4175,1
1095763,0U0ldCRmgCqhVvD6ksG63j,7452,1
1096231,0U10zFw4GlBacOy9VDGfGL,7461,1
2371539,0u2P5u6lvoDfwTYjAADbn4,10580,1
1044088,0U3xEfWLX4slslHJaAorSw,7089,1
385209,0U9TKK9GYryei6Vn45TEdH,3684,1
1109704,0UAB340gAcSMk3r0a8PTag,7554,1
48159,0UAJH0k4k3slcE83a9UGCe,1094,1
128241,0Ucm5WQfmLRadXKzQbzbLj,2320,1
1674100,0ug5NqcwcFR2xrfTkc7k8e,9112,1
1004189,0uIGzK6ukV0A5yWoCxPkRL,6792,1
996391,0umDVf77ygI5RiVp9OvNDj,6726,1
126472,0uOd48gTo5pVFzk6Yrba6Y,2290,1
63648,0UOxp1BpnD8uPQMKU4wKjz,1391,1
2736612,0UsBUJVzxPpXZm4R8fVHTD,10904,1
675228,0UY4FvG4f9JI6kBR1BlWrZ,4433,1
946620,0UZwcRQAk4QR09HtGRZhYC,6438,1
896761,0v1EehgMH3fmDxgE0IqmDx,6200,1
951538,0v1XpBHnsbkCn7iJ9Ucr1l,947,1
999034,0V3SNHDka1JSCP71HAzpxw,3911,1
1082529,0v51xNSZkeHzRDBirv6KPv,7347,1
469,0V82wcNlunw76nvvmPL9tk,38,1
1784262,0vbtURX4qv1l7besfwmnD8,9505,1
858558,0vCTQcxSGAgjHaiAsIANKn,5990,1
1967477,0vf2eBw2inhl8y61cYQMv2,10132,1
1150707,0vFMQi8ZnOM2y8cuReZTZ2,7770,1
180394,0vg4WnUWvze6pBOJDTq99k,2824,1
1898933,0VhgEqMTNZwYL1ARDLLNCX,9940,1
2908700,0VjIjW4GlUZAMYd2vXMi3b,11008,1
980714,0vJNVMuk5BfCo3TPJOv0rP,6614,1
553395,0vKGvQdkbesI7RGKX3tRyk,4427,1
758017,0vmJrxY9jPWlRbDyvOSD96,5513,1
1766350,0Vmk6Ebk4QBq7r0VAz2a6s,9532,1
75922,0VNzEY1G4GLqcNx5qaaTl6,1622,1
977725,0vQGH82igtlT2TXY7c4iL5,6588,1
1476310,0VqMBJyeeRA4I6mSPO5uqZ,8838,1
92851,0vswnzoKvhNkT1ehc0Tt19,2017,1
1175300,0VwNdo84DaVYLIkbVO86ND,7896,1
1455292,0VWRz1My71bZHgLDzK0rGv,8735,1
1722038,0VxocBntP1XTZRsR9ZURPS,9319,1
866111,0VyElz0sHFvEdh21EX0wB5,6024,1
576070,0W1uTK6I97CbjFKAVtRGfK,4511,1
1787495,0w6X9iRKrMyDpRRtbu4tE0,9666,1
1109055,0W7AbEauB7cP4pidLclApe,7551,1
417606,0waT8oapeVBp4lwez1KuIe,3822,1
1680917,0wEg6N3JxABOhPYvGyTHGe,9153,1
771940,0WjzrPfBJEFCeIe5HhEARq,5600,1
1780636,0WNhGqiooqQePeQoeJZQOZ,9625,1
1066269,0Wq6whEjKeAAUi4nEim1DA,7275,1
84219,0WQiDwKJclirSYG9v5tayI,1853,1
1475838,0Wv9Ckm088qsVkMKPH170C,8832,1
863637,0wvIGFIgbyz4JNwQhZgTv2,6005,1
652381,0wVluBsVAVzBKrqspuCcwR,4931,1
1766172,0wwPcA6wtMf6HUMpIRdeP7,9529,1
1905186,0wXuerDYiBnERgIpbb3JBR,9982,1
3898172,0WZqHCoOBXqgCCIsUZLC2a,11082,1
271557,0x0ffSAP6PkdoDgHOfroof,3258,1
9362,0x2wtJbtJrox3SDmnMj97x,254,1
594514,0xAVL3SQa8SxKdWJgly6Ht,4607,1
1495063,0xCA70t1ZA4fa9UOE0lIJm,8970,1
1515715,0XTYAgIfaNOBX046xuuT2s,9051,1
1779177,0y1QJc3SJVPKJ1OvFmFqe6,9613,1
440370,0y2TY1TrA87RBDXqFYE8jP,3981,1
1028955,0y40iM7iaJahwR0kFqjC2c,6981,1
1190462,0y6kdSRCVQhSsHSpWvTUm7,8033,1
111685,0yac0FPhLRH9i9lOng3f81,2185,1
1194284,0YAMQSmHk6BSUGTYpaoqTJ,8063,1
1977153,0yc6Gst2xkRu0eMLeRMGCX,10147,1
604717,0yCXPhBN9nNh3CVBmc96EQ,4664,1
