,id_chord,id_spotify_track,id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,popularity,album_name,release_date,mood
600,1427909,1cToDDDZWC2gHU7VfOBMtw,8624,0.414,0.435,7,-9.698,1,0.0406,0.84,0.0,0.163,0.566,130.489,140872,4,baby its cold outside,1.0,The Greatest Christmas Music Collection,2019-10-18,6
601,661006,1D39ZETXfcAFYaGruPHEzB,4973,0.682,0.0827,2,-22.895,1,0.0413,0.979,0.384,0.125,0.299,125.091,401426,4,re stacks,56.0,"For Emma, Forever Ago",2008-05-12,1
602,748688,1D4PL9B8gOg78jiHg3FvBb,5324,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,236267,4,love story,74.0,Fearless (Big Machine Radio Release Special),2008-11-11,3
603,523246,1d6KS9GH06JAd19uiBy9IE,4313,0.408,0.582,11,-8.305,1,0.0508,0.218,0.0,0.159,0.365,114.926,230000,5,ironic,70.0,Jagged Little Pill (2015 Remaster),1995,6
604,3367625,1dcNEEtODRVZEevQ20Cgmy,11132,0.62,0.547,1,-6.772,1,0.0248,0.112,0.0,0.19,0.208,98.032,210355,4,nangangamba,72.0,Nangangamba,2020-08-07,3
605,848333,1Dg4dFJr3HW7sbA7vPejre,5939,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,163600,4,eight days a week,63.0,Beatles For Sale (Remastered),1964-12-04,10
606,1233869,1DIXPcTDzTj8ZMHt3PDt8p,8270,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,240693,4,gangstas paradise,85.0,Gangsta's Paradise,1995-10-02,6
607,41929,1dJiXJaCG2uTzvWmJ7Fh08,971,0.361,0.901,4,-4.133,0,0.0443,0.00152,0.000246,0.286,0.481,144.974,217267,4,flagpole sitta,55.0,Born In The 90s Forever Young,2021-10-08,7
608,502530,1dnXuEuApvuVqQCn0v9McL,4214,0.766,0.547,0,-7.25,1,0.0264,0.229,1.5e-05,0.104,0.556,105.01,183720,4,sitting waiting wishing,66.0,In Between Dreams,2005-01-01,6
609,610867,1dpxKe67LRRplC258yvmBw,4705,0.484,0.0971,7,-22.005,1,0.0506,0.868,0.903,0.11,0.415,86.165,94746,4,the christmas song chestnuts roasting on an open fire,0.0,Acoustic Christmas Songs: 40 Holiday Favorites Arranged for Instrumental Classical Guitar,2018-11-03,5
610,1454304,1dtzjTkNecIRAL4X3u4CtL,8724,0.519,0.76,2,-4.41,1,0.0349,0.0319,1.59e-05,0.241,0.149,130.03,261693,4,we believe,56.0,Restart,2013-01-01,4
